ID	Project	Stage
SRR6448595	PRJNA428884	Non-lactation
SRR6448596	PRJNA428884	Non-lactation
SRR6448597	PRJNA428884	Non-lactation
SRR6448598	PRJNA428884	Non-lactation
SRR6448599	PRJNA428884	Non-lactation
SRR6448600	PRJNA428884	Non-lactation
SRR6448601	PRJNA428884	Non-lactation
SRR6448602	PRJNA428884	Non-lactation
SRR6448603	PRJNA428884	Non-lactation
SRR6448604	PRJNA428884	Non-lactation
SRR6448605	PRJNA428884	Non-lactation
SRR6448606	PRJNA428884	Non-lactation
SRR6448607	PRJNA428884	Non-lactation
SRR6448608	PRJNA428884	Non-lactation
SRR6448609	PRJNA428884	Non-lactation
SRR6448610	PRJNA428884	Non-lactation
SRR6448611	PRJNA428884	Non-lactation
SRR6448612	PRJNA428884	Non-lactation
SRR6448613	PRJNA428884	Non-lactation
SRR6448615	PRJNA428884	Non-lactation
SRR6448616	PRJNA428884	Non-lactation
SRR6448617	PRJNA428884	Non-lactation
SRR6448618	PRJNA428884	Non-lactation
SRR6448620	PRJNA428884	Non-lactation
SRR6448621	PRJNA428884	Non-lactation
SRR6448622	PRJNA428884	Non-lactation
SRR6448623	PRJNA428884	Non-lactation
SRR6448624	PRJNA428884	Non-lactation
SRR6448625	PRJNA428884	Non-lactation
SRR6448626	PRJNA428884	Non-lactation
SRR6448627	PRJNA428884	Non-lactation
SRR6448628	PRJNA428884	Non-lactation
SRR6448630	PRJNA428884	Non-lactation
SRR6448631	PRJNA428884	Non-lactation
SRR6448632	PRJNA428884	Non-lactation
SRR6448633	PRJNA428884	Non-lactation
SRR6448634	PRJNA428884	Non-lactation
SRR6448635	PRJNA428884	Non-lactation
SRR6448636	PRJNA428884	Non-lactation
SRR6448637	PRJNA428884	Non-lactation
SRR6448638	PRJNA428884	Non-lactation
SRR6448639	PRJNA428884	Non-lactation
SRR6448640	PRJNA428884	Non-lactation
SRR6448641	PRJNA428884	Non-lactation
SRR6448642	PRJNA428884	Non-lactation
SRR6448643	PRJNA428884	Non-lactation
SRR6448644	PRJNA428884	Non-lactation
SRR6448645	PRJNA428884	Non-lactation
SRR6448646	PRJNA428884	Non-lactation
SRR6448647	PRJNA428884	Non-lactation
SRR6448648	PRJNA428884	Non-lactation
SRR6448650	PRJNA428884	Non-lactation
SRR6448651	PRJNA428884	Non-lactation
SRR6448652	PRJNA428884	Non-lactation
SRR6448653	PRJNA428884	Non-lactation
SRR2960162	PRJNA301774	Lactation
SRR2960163	PRJNA301774	Lactation
SRR2960164	PRJNA301774	Lactation
SRR2960165	PRJNA301774	Lactation
SRR2960166	PRJNA301774	Lactation
SRR2960167	PRJNA301774	Lactation
SRR2960168	PRJNA301774	Lactation
SRR2960169	PRJNA301774	Lactation
SRR2960170	PRJNA301774	Lactation
SRR2960171	PRJNA301774	Lactation
SRR2960172	PRJNA301774	Lactation
SRR2960173	PRJNA301774	Lactation
SRR2960174	PRJNA301774	Lactation
SRR2960175	PRJNA301774	Lactation
SRR2960176	PRJNA301774	Lactation
SRR2960177	PRJNA301774	Lactation
SRR2960178	PRJNA301774	Lactation
SRR2960179	PRJNA301774	Lactation
SRR2960180	PRJNA301774	Lactation
SRR2960181	PRJNA301774	Lactation
SRR2960182	PRJNA301774	Lactation
SRR2960183	PRJNA301774	Lactation
SRR2960184	PRJNA301774	Lactation
SRR2960185	PRJNA301774	Lactation
SRR2960186	PRJNA301774	Lactation
SRR2960187	PRJNA301774	Lactation
SRR2960188	PRJNA301774	Lactation
SRR2960189	PRJNA301774	Lactation
SRR2960190	PRJNA301774	Lactation
SRR2960191	PRJNA301774	Lactation
SRR2960192	PRJNA301774	Lactation
SRR2960193	PRJNA301774	Lactation
SRR2960194	PRJNA301774	Lactation
SRR2960195	PRJNA301774	Lactation
SRR2960196	PRJNA301774	Lactation
SRR2960197	PRJNA301774	Lactation
HP1	"Li et al, 2016"	Lactation
HP2	"Li et al, 2016"	Lactation
HP3	"Li et al, 2016"	Lactation
LP1	"Li et al, 2016"	Lactation
LP2	"Li et al, 2016"	Lactation
LP3	"Li et al, 2016"	Lactation
HD1	"Li et al, 2016"	Non-lactation
HD2	"Li et al, 2016"	Non-lactation
HD3	"Li et al, 2016"	Non-lactation
LD1	"Li et al, 2016"	Non-lactation
LD2	"Li et al, 2016"	Non-lactation
LD3	"Li et al, 2016"	Non-lactation
